BIL,NEGERI,MUKIM/DAERAH,Nama,LATITUD,LONGITUD,,,,
1,Terengganu,Besut,Pulau Teku Burung,5.958369444,102.6690944,,,,
2,Terengganu,Besut,Pulau Susu Dara,5.958863889,102.6646472,,,,
3,Terengganu,Besut,Pulau Tokong Kemudi,5.962272222,102.6768889,,,,
4,Terengganu,Besut,Pulau Tokong Kemudi Barat,5.960957036,102.6549482,,,,
5,Terengganu,Besut,Pulau Dara Kechil (Pulau Dara Kecil),5.962619444,102.6666056,,,,
6,Terengganu,Besut,Pulau Ru,5.830405556,102.61215,,,,
7,Terengganu,Besut,Pulau Perhentian Kecil,5.905036111,102.7250306,,,,
8,Terengganu,Besut,Pulau Serenggeh,5.942486111,102.66785,,,,
9,Terengganu,Besut,Pulau Rawa,5.961594444,102.6826889,,,,
10,Terengganu,Besut,Pulau Perhentian Besar,5.904433333,102.7543806,,,,
11,Terengganu,Dungun,Pulau Tokong Burung,4.864105556,103.6611444,,,,
12,Terengganu,Dungun,Pulau Nyirih,4.845033333,103.6646417,,,,
13,Terengganu,Dungun,Pulau Serai,4.7816,103.4070556,,,,
14,Terengganu,Dungun,Pulau Tengku Jaafar,4.781266667,103.4212583,,,,
15,Terengganu,Dungun,Pulau Tenggul,4.805075,103.6809806,,,,
16,Terengganu,Kuala Terengganu,Pulau Che Long,5.341683333,103.1264944,,,,
17,Terengganu,Kuala Terengganu,Pulau Pak Kub (pulau Che Hassan),5.340080556,103.123175,,,,
18,Terengganu,Kuala Terengganu,Pulau Wau,5.301866667,103.0884722,,,,
19,Terengganu,Kuala Terengganu,Pulau Che Yok,5.338191667,103.1210806,,,,
20,Terengganu,Kuala Terengganu,Pulau Tok Hakim (Pulau Wan Ali),5.335919444,103.1221806,,,,
21,Terengganu,Kuala Terengganu,Pulau Tengah (Pulau Panjang),5.331422222,103.1201167,,,,
22,Terengganu,Kuala Terengganu,Pulau Duyung Besar,5.331394444,103.12395,,,,
23,Terengganu,Kuala Terengganu,Pulau Besar (Pulau Raja),5.332277778,103.1175111,,,,
24,Terengganu,Kuala Terengganu,Pulau Wan Man,5.321638889,103.1167611,,,,
25,Terengganu,Kuala Terengganu,Pulau Sekati,5.321088889,103.0974,,,,
26,Terengganu,Kuala Terengganu,Pulau Pasir,5.329347222,103.1281833,,,,
27,Terengganu,Kuala Terengganu,Pulau Pak Mat (Pulau Pak Mat Lebai),5.323258333,103.1075917,,,,
28,Terengganu,Kuala Terengganu,Pulau Warisan,5.335888889,103.13325,,,,
29,Terengganu,Marang,Pulau Gumia (Pulau Sunita),5.233669444,103.2631278,,,,
30,Terengganu,Marang,Pulau Kapas (Pulau Kerengga),5.221380556,103.2655417,,,,
31,Terengganu,Setiu,Pulau Pauh,5.638833333,102.7677444,,,,
32,Terengganu,Setiu,Pulau Wan Mamat,5.642958333,102.765,,,,
33,Terengganu,Setiu,Pulau Karah (Pulau Kapak),5.597825,103.0642639,,,,
34,Terengganu,Setiu,Pulau Bidung Laut,5.620375,103.0633111,,,,
35,Terengganu,Setiu,Pulau Geluk,5.657402778,103.0686917,,,,
36,Terengganu,Setiu,Pulau Tengkorak,5.667722222,103.0714,,,,
37,Terengganu,Setiu,Pulau Yu Besar,5.641344444,103.1518389,,,,
38,Terengganu,Setiu,Pulau Yu Kecil,5.624041667,103.1604194,,,,
39,Terengganu,Setiu,Pulau Ling (Pulau Che Por),5.734,103.0194889,,,,
40,Terengganu,Setiu,Pulau Ekor Tebu,5.738105556,103.0299361,,,,
41,Terengganu,Setiu,Pulau Kerengga Besar,5.753097222,103.028875,,,,
42,Terengganu,Setiu,Pulau Paku Besar,5.778133333,103.0419583,,,,
43,Terengganu,Setiu,Pulau Paku Kecil,5.772286111,103.0388111,,,,
44,Terengganu,Setiu,Pulau Limau,5.773808333,103.0602389,,,,
45,Terengganu,Setiu,Pulau Pinang,5.7397,103.0017222,,,,
46,Terengganu,Setiu,Pulau Redang,5.793563889,103.0036417,,,,
47,Terengganu,Setiu,Pulau Cipu,5.677658333,102.8241194,,,,
48,Terengganu,Setiu,Pulau Lang Tengah,5.793105556,102.895025,,,,
49,Terengganu,Setiu,Pulau Che Selamah,5.594752778,102.7980056,,,,
50,Terengganu,Setiu,Pulau Tok Bilal,5.625497222,102.78525,,,,
51,Terengganu,Setiu,Pulau Layat,5.69715,102.6941444,,,,
52,Terengganu,Setiu,Pulau Tok Ba,5.634083333,102.77215,,,,
53,Terengganu,Setiu,Pulau Ubi,5.646238889,102.7539472,,,,
54,Terengganu,Setiu,Pulau Ru,5.642811111,102.7671583,,,,
55,Terengganu,Setiu,Pulau Mat Gendut,5.641144444,102.7656944,,,,
56,Terengganu,Setiu,Pulau Gemia,5.642811111,102.7671583,,,,
57,Terengganu,Setiu,Pulau Sutung,5.651241667,102.7534722,,,,
58,Terengganu,Setiu,Pulau Tok Haji,5.662194444,102.7328083,,,,
59,Terengganu,Setiu,Pulau Busung,5.6661,102.7309972,,,,
